storeId|ingredId|expireDate
8001|3001|2017-01-10
8001|3002|2017-01-01
8001|3004|2017-06-23
8001|3007|2017-06-09
8001|3015|2017-11-01
8001|3016|2017-11-11
8001|3020|2017-12-12
8002|3003|2017-12-12
8002|3005|2017-01-01
8002|3007|2017-05-03
8002|3009|2017-05-02
8002|3011|2017-02-03
8002|3015|2017-02-02
8002|3016|2017-10-17
8002|3019|2017-10-10
8003|3002|2017-04-03
8003|3007|2017-03-04
8003|3007|2017-01-20
8003|3008|2017-07-30
8003|3012|2017-09-30
8003|3008|2017-02-02
8003|3006|2017-01-01
8003|3004|2017-04-25
